name,frequency,ratio
.jsonnet,40,0
.make,40,0
.msc,40,0
.puml,40,0
.rdf,40,0
.xcuserstate,40,0
.Processor,39,0
.cert,39,0
.flac,39,0
.glb,39,0
.gotmpl,39,0
.hex,39,0
.pri,39,0
.sha256,39,0
.tfvars,39,0
.vm,39,0
.debug,38,0
.gdb,38,0
.mmdb,38,0
.ppm,38,0
.sty,38,0
.vb,38,0
.BUILD,37,0
.epub,37,0
.excalidraw,37,0
.mtl,37,0
.proj,37,0
.pubxml,37,0
.qml,37,0
.ruleset,37,0
.tokens,37,0
.wat,37,0
.BSD,36,0
.dsw,36,0
.ll,36,0
.psd1,36,0
.alpine,35,0
.asciidoc,35,0
.ci,35,0
.eml,35,0
.jinja2,35,0
.orig,35,0
.pbtxt,35,0
.text,35,0
.theme,35,0
.v,35,0
.wixproj,35,0
.README,34,0
.cl,34,0
.cls,34,0
.imports,34,0
.mc,34,0
.postinst,34,0
.rar,34,0
.sha1,34,0
.stl,34,0
.whl,34,0
.adb,33,0
.applescript,33,0
.chm,33,0
.defaults,33,0
.f,33,0
.gn,33,0
.msg,33,0
.qss,33,0
.win,33,0
.gcc,32,0
.mms,32,0
.cmakein,31,0
.gltf,31,0
.gql,31,0
.handlebars,31,0
.include,31,0
.m4a,31,0
.node,31,0
.profile,31,0
.ps,31,0
.qm,31,0
.repo,31,0
.stub,31,0
.twig,31,0
.api,30,0
.avro,30,0
.nim,30,0
.njk,30,0
.schema,30,0
.shader,30,0
.xccheckout,30,0
.aar,29,0
.avi,29,0
.br,29,0
.crl,29,0
.expect,29,0
.g,29,0
.heic,29,0
.opt,29,0
.p,29,0
.prototxt,29,0
.re,29,0
.result,29,0
.tab,29,0
.ttc,29,0
.xcplayground,29,0
.7z,28,0
.H,28,0
.LESSER,28,0
.arm64,28,0
.avsc,28,0
.dockerignore,28,0
.elm,28,0
.examples,28,0
.f90,28,0
.fig,28,0
.haml,28,0
.hdr,28,0
.icc,28,0
.interp,28,0
.jq,28,0
.lisp,28,0
.rl,28,0
.xcbkptlist,28,0
.APACHE,27,0
.arm,27,0
.bicep,27,0
.command,27,0
.dia,27,0
.exr,27,0
.hxx,27,0
.ipp,27,0
.manpages,27,0
.output,27,0
.st,27,0
.url,27,0
.afdesign,26,0
.asset,26,0
.comp,26,0
.edn,26,0
.err,26,0
.header,26,0
.img,26,0
.jade,26,0
.libsonnet,26,0
.license,26,0
.pcap,26,0
.sas,26,0
.scpt,26,0
.socket,26,0
.wgsl,26,0
.cabal,25,0
.dds,25,0
.ext,25,0
.fbx,25,0
.geojson,25,0
.gypi,25,0
.pgm,25,0
.policy,25,0
.pp,25,0
.rockspec,25,0
.rsp,25,0
.sig,25,0
.sqlite3,25,0
.sys,25,0
.unity,25,0
.vtt,25,0
.xbm,25,0
.ads,24,0
.backup,24,0
.dirs,24,0
.fnt,24,0
.imp,24,0
.liquid,24,0
.nu,24,0
.pod,24,0
.pxi,24,0
.runsettings,24,0
.source,24,0
.sublime-project,24,0
.windows,24,0
.wxl,24,0
.wxss,24,0
.xctestplan,24,0
.xlf,24,0
.aspx,23,0
.bzlmod,23,0
.cache,23,0
.csh,23,0
.dump,23,0
.file,23,0
.foo,23,0
.gni,23,0
.input,23,0
.invalid,23,0
.mac,23,0
.pom,23,0
.srt,23,0
.wxml,23,0
.xcscmblueprint,23,0
.attr,22,0
.darwin,22,0
.debian,22,0
.desc,22,0
.elf,22,0
.freebsd,22,0
.gpr,22,0
.h5,22,0
.launch,22,0
.lzma,22,0
.mdb,22,0
.mli,22,0
.nupkg,22,0
.orc,22,0
.ppt,22,0
.prefab,22,0
.razor,22,0
.skip,22,0
.xcstrings,22,0
.yy,22,0
.LGPL,21,0
.LIB,21,0
.acl,21,0
.app,21,0
.as,21,0
.b,21,0
.bor,21,0
.capnp,21,0
.cat,21,0
.css_t,21,0
.inv,21,0
.mdown,21,0
.mf,21,0
.mkv,21,0
.ndjson,21,0
.odg,21,0
.pdn,21,0
.rc2,21,0
.rdoc,21,0
.slim,21,0
.star,21,0
.stdout,21,0
.swp,21,0
.target,21,0
.timer,21,0
.vsdx,21,0
.xmind,21,0
.abnf,20,0
.aff,20,0
.amd64,20,0
.bazelrc,20,0
.bcmap,20,0
.blend,20,0
.cpu,20,0
.data-00000-of-00001,20,0
.elv,20,0
.fsproj,20,0
.fuzz,20,0
.fx,20,0
.grammar,20,0
.mkd,20,0
.msvc,20,0
.names,20,0
.odp,20,0
.pack,20,0
.readme,20,0
.ref,20,0
.rego,20,0
.resw,20,0
.sc,20,0
.tbl,20,0
.tc,20,0
.te,20,0
.w32,20,0
.10,19,0
.9,19,0
.C,19,0
.Debian,19,0
.GPL,19,0
.PL,19,0
.Rmd,19,0
.asmdef,19,0
.bnf,19,0
.bundle,19,0
.gitignore,19,0
.ics,19,0
.os2,19,0
.pbm,19,0
.phar,19,0
.pk,19,0
.ply,19,0
.postrm,19,0
.prod,19,0
.project,19,0
.qpg,19,0
.riscos,19,0
.rkt,19,0
.rpath,19,0
.ser,19,0
.tape,19,0
.unknown,19,0
.ver,19,0
.win32,19,0
.aiff,18,0
.args,18,0
.bas,18,0
.cgi,18,0
.control,18,0
.cr,18,0
.defs,18,0
.dj2,18,0
.e,18,0
.emx,18,0
.ent,18,0
.gd,18,0
.gpu,18,0
.graphqls,18,0
.har,18,0
.jmx,18,0
.ls,18,0
.m3u,18,0
.opam,18,0
.phpt,18,0
.preset,18,0
.projitems,18,0
.shproj,18,0
.slnf,18,0
.stp,18,0
.testing,18,0
.tst,18,0
.vs,18,0
.wprp,18,0
.wsdl,18,0
.xs,18,0
.04,17,0
.12,17,0
.Rd,17,0
.arb,17,0
.asax,17,0
.base64,17,0
.cd,17,0
.chromium,17,0
.contrib,17,0
.cql,17,0
.custom,17,0
.dae,17,0
.docker,17,0
.dts,17,0
.es,17,0
.gperf,17,0
.isl,17,0
.lintian-overrides,17,0
.metadata,17,0
.processors,17,0
.pup,17,0
.rng,17,0
.rule,17,0
.server,17,0
.sha512,17,0
.unix,17,0
.vbproj,17,0
.wxi,17,0
.PDF,16,0
.android,16,0
.asp,16,0
.bt,16,0
.builder,16,0
.cake,16,0
.cast,16,0
.cljc,16,0
.cocci,16,0
.deb,16,0
.dep,16,0
.dpr,16,0
.gemfile,16,0
.links,16,0
.m3u8,16,0
.ninja,16,0
.ogv,16,0
.p8,16,0
.pump,16,0
.ronn,16,0
.sfd,16,0
.status,16,0
.sym,16,0
.templ,16,0
.texi,16,0
.tmLanguage,16,0
.tmTheme,16,0
.tmp,16,0
.tsbuildinfo,16,0
.txtar,16,0
.ubuntu,16,0
.v2,16,0
.vhd,16,0
.wapproj,16,0
.wast,16,0
.wiki,16,0
.11,15,0
.13,15,0
.aarch64,15,0
.arrow,15,0
.axaml,15,0
.bc,15,0
.cljs,15,0
.crx,15,0
.cue,15,0
.egg,15,0
.flags,15,0
.flex,15,0
.generic,15,0
.glade,15,0
.gpl,15,0
.jj,15,0
.jp2,15,0
.keys,15,0
.lang,15,0
.mips,15,0
.mmd,15,0
.pest,15,0
.pkg,15,0
.prerm,15,0
.sch,15,0
.stringsdict,15,0
.td,15,0
.train,15,0
.vc,15,0
.vsh,15,0
.war,15,0
.wrap,15,0
.14,14,0
.16,14,0
.20,14,0
.bar,14,0
.bdf,14,0
.binary,14,0
.eex,14,0
.empty,14,0
.geom,14,0
.git,14,0
.gv,14,0
.gzip,14,0
.hrl,14,0
.iso,14,0
.la,14,0
.lnk,14,0
.logrotate,14,0
.mid,14,0
.new,14,0
.pde,14,0
.pfb,14,0
.plantuml,14,0
.robot,14,0
.scd,14,0
.sct,14,0
.staging,14,0
.sv,14,0
.syso,14,0
.tests,14,0
.tla,14,0
.ttl,14,0
.vala,14,0
.x86,14,0
.Extension,13,0
.TTF,13,0
.ahk,13,0
.aps,13,0
.ascii,13,0
.bad,13,0
.bf,13,0
.cbp,13,0
.dbf,13,0
.exports,13,0
.fedora,13,0
.form,13,0
.hook,13,0
.hx,13,0
.its,13,0
.lz4,13,0
.m4v,13,0
.opml,13,0
.patterns,13,0
.peg,13,0
.pegjs,13,0
.private,13,0
.pyd,13,0
.ql,13,0
.rdb,13,0
.seq,13,0
.sgi,13,0
.spv,13,0
.step,13,0
.sup,13,0
.svgz,13,0
.swig,13,0
.symbols,13,0
.tflite,13,0
.uml,13,0
.vsd,13,0
.15,12,0
.Driver,12,0
.Makefile,12,0
.XamlStyler,12,0
.aac,12,0
.abc,12,0
.afm,12,0
.bp,12,0
.bst,12,0
.car,12,0
.checkpoint,12,0
.crc,12,0
.csl,12,0
.dcm,12,0
.dj,12,0
.dmg,12,0
.efi,12,0
.fea,12,0
.fixed,12,0
.fsh,12,0
.gem,12,0
.gleam,12,0
.gliffy,12,0
.hint,12,0
.host,12,0
.jam,12,0
.layout,12,0
.mjml,12,0
.nb,12,0
.net,12,0
.ok,12,0
.opus,12,0
.original,12,0
.override,12,0
.pcss,12,0
.postcss,12,0
.priv,12,0
.pxm,12,0
.pyw,12,0
.qmd,12,0
.replay,12,0
.rpm,12,0
.rsa,12,0
.sdef,12,0
.sgml,12,0
.snapshot,12,0
.suppress,12,0
.textile,12,0
.textproto,12,0
.upstart,12,0
.vsix,12,0
.wit,12,0
.x86_64,12,0
.xcfilelist,12,0
.xyz,12,0
.18,11,0
.GPLv2,11,0
.XML,11,0
.aix,11,0
.all,11,0
.ambr,11,0
.anim,11,0
.ans,11,0
.apng,11,0
.ashx,11,0
.asn1,11,0
.atlas,11,0
.b64,11,0
.bash-completion,11,0
.bytes,11,0
.caf,11,0
.cfm,11,0
.content,11,0
.controller,11,0
.cson,11,0
.dex,11,0
.doxygen,11,0
.dsc,11,0
.en,11,0
.fc,11,0
.flv,11,0
.gen,11,0
.gnu,11,0
.gohtml,11,0
.hash,11,0
.headers,11,0
.heex,11,0
.hlsli,11,0
.ioc,11,0
.ir,11,0
.ktx,11,0
.lex,11,0
.max,11,0
.me,11,0
.mingw,11,0
.mll,11,0
.mly,11,0
.nimble,11,0
.pac,11,0
.params,11,0
.pbf,11,0
.pkgproj,11,0
.pubkey,11,0
.purs,11,0
.q,11,0
.riscv,11,0
.ron,11,0
.rss,11,0
.run,11,0
.safetensors,11,0
.scr,11,0
.smali,11,0
.snippets,11,0
.sources,11,0
.sq,11,0
.sublime-syntax,11,0
.tcc,11,0
.tiktoken,11,0
.torrent,11,0
.utf8,11,0
.vcxitems,11,0
.vms,11,0
.xpi,11,0
.xsh,11,0
.zlib,11,0
.zon,11,0
.17,10,0
.BMP,10,0
.FBX,10,0
.GIF,10,0
._,10,0
.abi,10,0
.aux,10,0
.baseline,10,0
.bcc,10,0
.bk,10,0
.bsh,10,0
.caffemodel,10,0
.clang,10,0
.code,10,0
.csx,10,0
.ddl,10,0
.dec,10,0
.doctree,10,0
.doxy,10,0
.dtsi,10,0
.dxf,10,0
.ec,10,0
.ets,10,0
.fits,10,0
.fxml,10,0
.gbr,10,0
.gml,10,0
.graphml,10,0
.groupproj,10,0
.hhp,10,0
.hjson,10,0
.hpux,10,0
.ids,10,0
.il,10,0
.intel,10,0
.intentdefinition,10,0
.itermcolors,10,0
.kicad_pcb,10,0
.kml,10,0
.menu,10,0
.mermaid,10,0
.mof,10,0
.mpg,10,0
.nasm,10,0
.p6,10,0
.path,10,0
.pcapng,10,0
.phtml,10,0
.pic,10,0
.plugin,10,0
.prebuilt,10,0
.preinst,10,0
.qs,10,0
.rgs,10,0
.sav,10,0
.sdl,10,0
.specs,10,0
.std,10,0
.sublime-settings,10,0
.svd,10,0
.syms,10,0
.tag,10,0
.tcsh,10,0
.thumbnailer,10,0
.tl,10,0
.tmx,10,0
.tree,10,0
.vars,10,0
.vcl,10,0
.vdf,10,0
.webapp,10,0
.xlsm,10,0
.02,9,0
.3mf,9,0
.ASM,9,0
.JSON,9,0
.Rproj,9,0
.StyleCop,9,0
.als,9,0
.ansi,9,0
.art,9,0
.asd,9,0
.asn,9,0
.atom,9,0
.bench,9,0
.bpe,9,0
.bson,9,0
.cbl,9,0
.cbproj,9,0
.cf,9,0
.cginc,9,0
.client,9,0
.cp,9,0
.cppm,9,0
.ctl,9,0
.datasource,9,0
.dfm,9,0
.dhall,9,0
.dsl,9,0
.emf,9,0
.error,9,0
.escript,9,0
.fail,9,0
.frm,9,0
.gpx,9,0
.hack,9,0
.handlers,9,0
.head,9,0
.hhc,9,0
.hin,9,0
.icf,9,0
.importorder,9,0
.initd,9,0
.jsonld,9,0
.jwt,9,0
.keytab,9,0
.lark,9,0
.lighting,9,0
.limit_in_bytes,9,0
.loc,9,0
.lss,9,0
.makefile,9,0
.mask,9,0
.meson,9,0
.ms,9,0
.native,9,0
.nginx,9,0
.odin,9,0
.openbsd,9,0
.osx,9,0
.overlay,9,0
.page,9,0
.pam,9,0
.param,9,0
.partial,9,0
.perl,9,0
.pkcs12,9,0
.plg,9,0
.pnm,9,0
.ppc,9,0
.prj,9,0
.prop,9,0
.provisionprofile,9,0
.python,9,0
.resources,9,0
.rsrc,9,0
.sarif,9,0
.scad,9,0
.schemas,9,0
.sco,9,0
.shp,9,0
.simple,9,0
.sml,9,0
.snappy,9,0
.snippet,9,0
.solaris,9,0
.sp,9,0
.swiftmodule,9,0
.tail,9,0
.terminal,9,0
.tfstate,9,0
.tftpl,9,0
.tgt,9,0
.tld,9,0
.toc,9,0
.tx,9,0
.typ,9,0
.uc,9,0
.uni,9,0
.usda,9,0
.vsixmanifest,9,0
.wbmp,9,0
.web,9,0
.z,9,0
.01,8,0
.03,8,0
.19,8,0
.21,8,0
.22,8,0
.BIN,8,0
.CPP,8,0
.DOC,8,0
.GPLv3,8,0
.PcbDoc,8,0
.SchDoc,8,0
.TEMPLATE,8,0
.TestExecutionListener,8,0
.adml,8,0
.admx,8,0
.after,8,0
.arch,8,0
.asar,8,0
.ase,8,0
.au,8,0
.axml,8,0
.bb,8,0
.bbl,8,0
.blacklist,8,0
.blob,8,0
.boot,8,0
.cab,8,0
.cfs_quota_us,8,0
.check_cache,8,0
.cin,8,0
.cob,8,0
.copy,8,0
.copyright,8,0
.cygwin,8,0
.d2,8,0
.dir,8,0
.dm,8,0
.do,8,0
.drl,8,0
.ds,8,0
.dsidx,8,0
.dtb,8,0
.dummy,8,0
.enterprise,8,0
.exclude,8,0
.exit,8,0
.faiss,8,0
.feather,8,0
.fmpp,8,0
.fmt,8,0
.fr,8,0
.freeze,8,0
.gold,8,0
.google,8,0
.gp,8,0
.gs,8,0
.htc,8,0
.internal,8,0
.ixx,8,0
.j,8,0
.jfif,8,0
.jison,8,0
.kicad_mod,8,0
.kicad_sch,8,0
.ksh,8,0
.lp,8,0
.mapping,8,0
.mediawiki,8,0
.mem,8,0
.mesh,8,0
.min,8,0
.mingw32,8,0
.mock,8,0
.mpd,8,0
.n,8,0
.netbsd,8,0
.nfo,8,0
.num,8,0
.pcd,8,0
.pck,8,0
.pig,8,0
.pipe,8,0
.plugins,8,0
.pre,8,0
.prf,8,0
.prof,8,0
.recipe,8,0
.redirects,8,0
.regex,8,0
.renderTexture,8,0
.resource,8,0
.response,8,0
.results,8,0
.rev,8,0
.rocm,8,0
.rst_t,8,0
.sha256sum,8,0
.shx,8,0
.sieve,8,0
.sip,8,0
.sss,8,0
.state,8,0
.static,8,0
.stats,8,0
.stg,8,0
.style,8,0
.swiftdoc,8,0
.system,8,0
.systemd,8,0
.tags,8,0
.temp,8,0
.tera,8,0
.trace,8,0
.tscn,8,0
.usb,8,0
.uvprojx,8,0
.vocab,8,0
.vsprops,8,0
.vy,8,0
.webidl,8,0
.winmd,8,0
.wmf,8,0
.wren,8,0
.xctimeline,8,0
.xht,8,0
.xul,8,0
.zone,8,0
.23,7,0
.24,7,0
.CSV,7,0
.DataSourceRegister,7,0
.F,7,0
.LGPLv3,7,0
.Plugin,7,0
.STL,7,0
.Watcom,7,0
.abap,7,0
.acorn,7,0
.afphoto,7,0
.aif,7,0
.aifc,7,0
.alias,7,0
.allowlist,7,0
.amiga,7,0
.apkg,7,0
.apns,7,0
.appcache,7,0
.arff,7,0
.arpa,7,0
.au3,7,0
.bks,7,0
.bnd,7,0
.bpmn,7,0
.brd,7,0
.c++,7,0
.c_shipped,7,0
.ca,7,0
.cap,7,0
.cfs_period_us,7,0
.chat,7,0
.checksum,7,0
.chpl,7,0
.cli,7,0
.clr,7,0
.cml,7,0
.conllu,7,0
.cppcheck,7,0
.cppclean,7,0
.ctags,7,0
.db-wal,7,0
.de,7,0
.dependencies,7,0
.deps,7,0
.dos,7,0
.dproj,7,0
.dtso,7,0
.ebnf,7,0
.ebuild,7,0
.es6,7,0
.esp32c3,7,0
.extra,7,0
.files,7,0
.filter,7,0
.full,7,0
.fw,7,0
.fzz,7,0
.gbnf,7,0
.gcode,7,0
.gdbinit,7,0
.gin,7,0
.globalconfig,7,0
.glyphs,7,0
.gtpl,7,0
.ha,7,0
.heif,7,0
.help,7,0
.hhk,7,0
.iface,7,0
.ipa,7,0
.kicad_pro,7,0
.kl,7,0
.ktx2,7,0
.kv,7,0
.legacy,7,0
.lldb,7,0
.lottie,7,0
.lpi,7,0
.lsp,7,0
.mlir,7,0
.mn,7,0
.modules,7,0
.mplstyle,7,0
.msi,7,0
.nims,7,0
.nl,7,0
.nmake,7,0
.nt,7,0
.nut,7,0
.off,7,0
.p7s,7,0
.par,7,0
.part,7,0
.pass,7,0
.password,7,0
.pat,7,0
.pbxuser,7,0
.pcx,7,0
.pgcfg,7,0
.platform,7,0
.plt,7,0
.pony,7,0
.pyproj,7,0
.rasi,7,0
.redis,7,0
.rep,7,0
.req,7,0
.rgb,7,0
.rgba,7,0
.riv,7,0
.root,7,0
.s390x,7,0
.sage,7,0
.sas7bdat,7,0
.save,7,0
.slice,7,0
.sls,7,0
.soy,7,0
.ss,7,0
.start,7,0
.stat,7,0
.storekit,7,0
.suo,7,0
.suppressions,7,0
.svn-base,7,0
.table,7,0
.tasks,7,0
.tbd,7,0
.th,7,0
.tool,7,0
.traineddata,7,0
.truststore,7,0
.ttx,7,0
.um,7,0
.urdf,7,0
.v1,7,0
.vba,7,0
.vhdl,7,0
.w,7,0
.wma,7,0
.wpj,7,0
.xcodeproj,7,0
.xliff,7,0
.xmp,7,0
.yar,7,0
.zsh-theme,7,0
.00,6,0
.05,6,0
.06,6,0
.07,6,0
.25,6,0
.26,6,0
.27,6,0
.32,6,0
.32sunu,6,0
.64sunu,6,0
.686,6,0
.Caddyfile,6,0
.Converter,6,0
.EXE,6,0
.F90,6,0
.FDL,6,0
.Filter,6,0
.JPEG,6,0
.PSF,6,0
.Props,6,0
.RC,6,0
.SLF4JServiceProvider,6,0
.SRC,6,0
.SymbolProcessorProvider,6,0
.TestEngine,6,0
.Xiph,6,0
.aco,6,0
.aj,6,0
.alt,6,0
.ani,6,0
.apl,6,0
.arsc,6,0
.atari,6,0
.bc32,6,0
.beos,6,0
.bru,6,0
.builtin,6,0
.carbon,6,0
.circom,6,0
.conflist,6,0
.cross,6,0
.cry,6,0
.cube,6,0
.current,6,0
.ddf,6,0
.design,6,0
.dfa,6,0
.dng,6,0
.doxyfile,6,0
.drc,6,0
.e2e,6,0
.ecr,6,0
.egg-info,6,0
.encrypted,6,0
.exceptions,6,0
.factor,6,0
.fallback,6,0
.fixture,6,0
.fla,6,0
.flf,6,0
.fnl,6,0
.for,6,0
.fragment,6,0
.fst,6,0
.fth,6,0
.gexf,6,0
.gguf,6,0
.gjs,6,0
.glob,6,0
.gob,6,0
.godot,6,0
.good,6,0
.gsp,6,0
.gts,6,0
.gui,6,0
.h_shipped,6,0
.hlp,6,0
.hp64,6,0
.hpgcc,6,0
.htaccess,6,0
.hxml,6,0
.i386,6,0
.ibmc,6,0
.icl,6,0
.icm,6,0
.icu,6,0
.if,6,0
.ijg,6,0
.import,6,0
.inp,6,0
.ips,6,0
.ist,6,0
.ja,6,0
.janet,6,0
.jbuilder,6,0
.jflex,6,0
.jst,6,0
.kdl,6,0
.ko,6,0
.ks,6,0
.ksy,6,0
.label,6,0
.lastbuildstate,6,0
.ldb,6,0
.ldscript,6,0
.len,6,0
.lgt,6,0
.lhs,6,0
.litcoffee,6,0
.lkml,6,0
.load,6,0
.lockfile,6,0
.lol,6,0
.main,6,0
.mbox,6,0
.microsoft,6,0
.mlmodel,6,0
.mobi,6,0
.module,6,0
.moon,6,0
.mount,6,0
.move,6,0
.msgpack,6,0
.msm,6,0
.msys,6,0
.multi,6,0
.mysql,6,0
.name,6,0
.natstepfilter,6,0
.ncl,6,0
.ncrunchsolution,6,0
.network,6,0
.no,6,0
.oga,6,0
.osm,6,0
.ovpn,6,0
.pattern,6,0
.pdl,6,0
.pfm,6,0
.pgp,6,0
.physicMaterial,6,0
.pike,6,0
.platforms,6,0
.powerpc,6,0
.pref,6,0
.prg,6,0
.ptx,6,0
.qbk,6,0
.r0,6,0
